zeit,equity,cash,n_pos
2026-07-26 11:26:30,10000.0,10000.0,0
2026-07-26 11:27:03,10000.0,10000.0,0
2026-07-26 11:34:50,10000.0,10000.0,0
2026-07-27 01:51:11,10000.0,0.0,30
2026-07-27 23:15:13,10163.55,0.0,30
2026-07-28 23:15:09,10195.21,0.0,30
2026-07-29 23:15:12,10122.43,0.0,30
2026-07-30 23:15:14,10218.5,0.0,30
2026-07-31 23:15:08,10141.34,0.0,30
2026-08-03 23:15:09,10275.51,0.0,30
2026-08-04 23:15:14,10560.65,0.0,30
2026-08-05 23:15:10,10619.54,0.0,30
2026-08-06 23:15:13,10568.32,0.0,30
2026-08-07 23:15:09,10754.34,0.0,30
2026-08-10 23:15:13,10743.96,0.0,30
2026-08-11 23:15:07,10760.46,0.0,30
2026-08-12 08:15:43,10738.64,0.0,30
2026-08-12 23:15:09,10966.19,0.0,30
2026-08-13 23:15:09,10878.63,0.0,30
2026-08-14 23:15:10,10873.5,0.0,30
2026-08-17 23:15:10,10708.81,0.0,30
2026-08-18 23:15:10,10699.39,0.0,30
2026-08-19 23:15:08,10901.48,0.0,30
2026-08-20 23:15:09,10785.43,0.0,30
2026-08-21 17:58:13,10940.61,0.0,30
2026-08-21 17:59:29,10943.33,0.0,30
2026-08-21 23:15:09,10969.63,0.0,30
2026-08-24 23:15:26,10843.59,0.0,30
