time,variant,addr,symbol,price,liq,entry,peak_pct
2026-07-24 00:18:02,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002422,36342.65,0.00020330438378825477,38.31
2026-07-24 00:18:22,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002422,36342.65,0.00020330438378825477,38.31
2026-07-24 00:18:42,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.000259,37629.34,0.00020330438378825477,38.31
2026-07-24 00:19:02,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002644,38031.88,0.00020330438378825477,38.31
2026-07-24 00:19:22,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002644,38031.88,0.00020330438378825477,38.31
2026-07-24 00:19:42,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002706,38495.16,0.00020330438378825477,38.31
2026-07-24 00:20:02,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002902,39914.25,0.00020330438378825477,42.74
2026-07-24 00:20:22,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002902,39914.25,0.00020330438378825477,42.74
2026-07-24 00:20:42,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002895,39854.97,0.00020330438378825477,42.74
2026-07-24 00:21:03,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002896,39862.28,0.00020330438378825477,42.74
2026-07-24 00:21:23,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002896,39862.28,0.00020330438378825477,42.74
2026-07-24 00:21:43,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002811,39253.54,0.00020330438378825477,42.74
2026-07-24 00:22:03,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002807,39227.48,0.00020330438378825477,42.74
2026-07-24 00:22:23,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002807,39227.48,0.00020330438378825477,42.74
