time,sector,symbol,score,price,fear_greed,put_call,held,running
2026-07-26 05:07:02,oil,XOP,-5.1,174.13,26,0.99,0,True
2026-07-26 05:07:02,industry,XLI,-1.48,182.63,26,0.99,0,True
2026-07-26 05:07:02,steel,SLX,-1.48,103.54,26,0.99,0,True
2026-07-26 05:07:02,defense,ITA,-7.97,240.2,26,0.99,0,True
2026-07-26 05:07:02,finance,XLF,8.83,56.325,26,0.99,0,True
2026-07-26 05:07:02,tech,XLK,3.75,175.93,26,0.99,0,True
2026-07-26 05:07:02,gold,GLD,7.79,371.87,26,0.99,0,True
2026-07-26 05:07:02,infra,PAVE,0.6,57.69,26,0.99,1,True
2026-07-26 05:07:02,crypto,IBIT,-1.23,36.35,26,0.99,0,True
2026-07-26 06:07:02,energy,XLE,-0.77,59.61,26,0.99,1,True
2026-07-26 06:07:02,oil,XOP,-5.1,174.13,26,0.99,0,True
2026-07-26 06:07:02,industry,XLI,-2.61,182.63,26,0.99,0,True
2026-07-26 06:07:02,steel,SLX,-2.61,103.54,26,0.99,0,True
2026-07-26 06:07:02,defense,ITA,-8.64,240.2,26,0.99,0,True
2026-07-26 06:07:02,finance,XLF,7.7,56.325,26,0.99,0,True
2026-07-26 06:07:02,tech,XLK,3.79,175.93,26,0.99,0,True
2026-07-26 06:07:02,gold,GLD,7.79,371.87,26,0.99,0,True
2026-07-26 06:07:02,infra,PAVE,0.6,57.69,26,0.99,1,True
2026-07-26 06:07:02,crypto,IBIT,-1.23,36.35,26,0.99,0,True
2026-07-26 07:07:02,energy,XLE,-0.23,59.61,26,0.99,1,True
2026-07-26 07:07:02,oil,XOP,-4.56,174.13,26,0.99,0,True
2026-07-26 07:07:02,industry,XLI,-2.61,182.63,26,0.99,0,True
2026-07-26 07:07:02,steel,SLX,-2.61,103.54,26,0.99,0,True
2026-07-26 07:07:02,defense,ITA,-8.32,240.2,26,0.99,0,True
2026-07-26 07:07:02,finance,XLF,6.65,56.325,26,0.99,0,True
2026-07-26 07:07:02,tech,XLK,1.49,175.93,26,0.99,0,True
2026-07-26 07:07:02,gold,GLD,7.16,371.87,26,0.99,0,True
2026-07-26 07:07:02,infra,PAVE,0.6,57.69,26,0.99,1,True
2026-07-26 07:07:02,crypto,IBIT,-1.65,36.35,26,0.99,0,True
2026-07-26 08:07:01,energy,XLE,-1.48,59.61,26,0.99,1,True
2026-07-26 08:07:01,oil,XOP,-4.94,174.13,26,0.99,0,True
2026-07-26 08:07:01,industry,XLI,-3.74,182.63,26,0.99,0,True
2026-07-26 08:07:01,steel,SLX,-3.74,103.54,26,0.99,0,True
2026-07-26 08:07:01,defense,ITA,-4.91,240.2,26,0.99,0,True
2026-07-26 08:07:01,finance,XLF,5.95,56.325,26,0.99,0,True
2026-07-26 08:07:01,tech,XLK,4.15,175.93,26,0.99,0,True
2026-07-26 08:07:01,gold,GLD,7.16,371.87,26,0.99,0,True
2026-07-26 08:07:01,infra,PAVE,0.6,57.69,26,0.99,1,True
2026-07-26 08:07:01,crypto,IBIT,-1.23,36.35,26,0.99,0,True
