zeit,coin,markt,mid,spread_bp,slip180_bp,slip500_bp,slip1000_bp,tiefe_usd,funding_h_pct,roundtrip_bp
2026-09-01 00:00,BTC,BTC,79001.5,0.127,0.063,0.063,0.063,3362821,0.00125,12.63
2026-09-01 00:00,ETH,ETH,2481.45,0.403,0.201,0.201,0.201,8663534,0.00125,12.9
2026-09-01 00:00,SOL,SOL,103.755,0.964,0.482,0.482,0.482,4279946,0.00125,13.46
2026-09-01 00:00,XRP,XRP,1.3874499999999999,0.721,0.36,0.36,0.36,1440113,0.00125,13.22
2026-09-01 00:00,AVAX,AVAX,7.24355,1.242,0.621,0.759,0.759,50324,0.00125,13.74
2026-09-01 00:00,LINK,LINK,11.378,1.758,0.879,0.879,1.758,354480,0.00125,14.26
2026-09-01 00:00,LTC,LTC,48.685,1.232,0.616,1.027,1.027,50044,0.00125,13.73
2026-09-01 00:00,ADA,ADA,0.199415,1.504,0.752,0.752,0.752,144772,0.00125,14.0
2026-09-01 00:00,DOT,DOT,0.8412,3.091,1.545,1.664,1.783,21610,0.001052,15.04
2026-09-01 00:00,UNI,UNI,5.267250000000001,0.949,0.475,0.664,1.424,12161,0.001985,15.51
2026-09-01 00:00,AAVE,AAVE,124.67500000000001,0.802,0.401,1.203,2.005,152862,0.00125,13.3
2026-09-01 00:00,ARB,ARB,0.106815,2.809,1.404,1.404,2.34,48573,0.00125,15.31
2026-09-01 00:00,POL,POL,0.09058050000000001,1.435,1.711,3.257,6.238,8408,0.00125,15.92
2026-09-01 00:00,RENDER,RENDER,1.4232,4.216,2.108,2.811,4.216,15675,0.00125,16.72
2026-09-01 00:00,DOGE,DOGE,0.0833685,1.08,0.54,0.54,0.54,209085,0.00125,13.58
2026-09-01 00:00,SHIB,kSHIB,0.005086500000000001,1.966,2.949,4.915,4.915,168266,0.002978,23.24
2026-09-01 00:00,PEPE,kPEPE,0.003576,5.593,2.796,2.796,2.796,928479,0.00125,18.09
2026-09-01 00:00,WIF,WIF,0.198525,2.519,1.259,1.763,4.282,53667,0.00125,15.02
2026-09-01 00:00,BONK,kBONK,0.0030155,3.316,1.658,1.658,1.658,155569,0.00125,15.82
2026-09-01 00:00,TRUMP,TRUMP,2.44885,1.225,0.613,0.613,0.613,91538,0.00125,13.73
2026-09-01 00:05,BTC,BTC,78956.5,0.127,0.063,0.063,0.063,3885673,0.00125,12.63
2026-09-01 00:05,ETH,ETH,2478.05,0.404,0.202,0.202,0.202,9739182,0.00125,12.9
2026-09-01 00:05,SOL,SOL,103.465,0.967,0.483,0.483,0.483,4487082,0.00125,13.47
2026-09-01 00:05,XRP,XRP,1.38395,0.723,0.361,0.361,0.361,1488148,0.00125,13.22
2026-09-01 00:05,AVAX,AVAX,7.225099999999999,0.554,0.969,0.969,1.107,39959,0.00125,14.44
2026-09-01 00:05,LINK,LINK,11.372499999999999,0.879,0.44,0.44,1.319,354767,0.00125,13.38
2026-09-01 00:05,LTC,LTC,48.641999999999996,0.411,0.206,0.206,0.822,59312,0.00125,12.91
2026-09-01 00:05,ADA,ADA,0.198955,0.503,0.251,0.251,1.257,145339,0.000838,11.85
2026-09-01 00:05,DOT,DOT,0.8388599999999999,1.669,0.834,0.954,0.954,24205,-0.000618,10.67
2026-09-01 00:05,UNI,UNI,5.242900000000001,2.289,1.335,2.67,2.67,41326,0.001564,16.05
2026-09-01 00:05,AAVE,AAVE,124.395,2.412,1.206,1.206,1.206,131557,0.00125,14.91
2026-09-01 00:05,ARB,ARB,0.10799500000000001,4.63,2.315,3.241,4.167,25898,0.002212,19.82
2026-09-01 00:05,POL,POL,0.09034049999999999,1.66,1.384,3.598,5.479,7865,0.00125,15.27
2026-09-01 00:05,RENDER,RENDER,1.4222000000000001,4.219,2.109,3.516,4.922,15681,0.00125,16.72
2026-09-01 00:05,DOGE,DOGE,0.0831565,0.842,0.421,0.421,0.421,88560,0.00125,13.34
2026-09-01 00:05,SHIB,kSHIB,0.0050735,1.971,0.986,0.986,0.986,171355,0.00125,14.47
2026-09-01 00:05,PEPE,kPEPE,0.003573,5.598,2.799,2.799,2.799,1327009,0.001006,17.41
2026-09-01 00:05,WIF,WIF,0.19823000000000002,1.009,0.504,0.504,0.504,47829,0.00125,13.51
2026-09-01 00:05,BONK,kBONK,0.0029975,3.336,1.668,1.668,8.34,141392,0.00125,15.84
2026-09-01 00:05,TRUMP,TRUMP,2.4372,1.641,0.821,1.641,1.641,92424,0.00125,14.14
2026-09-01 00:10,BTC,BTC,78920.5,0.127,0.063,0.063,0.063,4247747,0.00125,12.63
2026-09-01 00:10,ETH,ETH,2476.8500000000004,0.404,0.202,0.202,0.202,10267631,0.00125,12.9
2026-09-01 00:10,SOL,SOL,103.435,0.967,0.483,0.483,0.483,5298852,0.00125,13.47
2026-09-01 00:10,XRP,XRP,1.3846500000000002,0.722,0.361,0.361,0.361,1683676,0.00125,13.22
2026-09-01 00:10,AVAX,AVAX,7.22335,1.246,1.315,1.315,1.315,47715,0.00125,15.13
2026-09-01 00:10,LINK,LINK,11.3935,0.878,0.439,0.439,0.439,345546,0.00125,13.38
2026-09-01 00:10,LTC,LTC,48.66,0.822,0.411,0.411,0.617,53758,0.00125,13.32
2026-09-01 00:10,ADA,ADA,0.19928,1.004,0.502,0.502,1.004,127430,0.00094,12.63
2026-09-01 00:10,DOT,DOT,0.83838,2.147,1.073,1.193,1.193,25527,-9.4e-05,11.15
2026-09-01 00:10,UNI,UNI,5.2387,0.382,0.191,0.954,1.909,18182,0.001415,13.34
2026-09-01 00:10,AAVE,AAVE,124.255,0.805,0.402,0.402,0.402,67819,0.00125,13.3
2026-09-01 00:10,ARB,ARB,0.1073,5.592,2.796,2.796,3.728,35238,0.003011,23.02
2026-09-01 00:10,POL,POL,0.090173,2.883,1.442,1.553,4.99,14621,0.00125,15.38
2026-09-01 00:10,RENDER,RENDER,1.4212,4.222,2.111,2.815,4.222,20546,0.00125,16.72
2026-09-01 00:10,DOGE,DOGE,0.0832015,0.601,0.3,0.3,0.3,115499,0.00125,13.1
2026-09-01 00:10,SHIB,kSHIB,0.0050785,1.969,0.985,0.985,2.954,173426,0.00125,14.47
2026-09-01 00:10,PEPE,kPEPE,0.0035715,2.8,1.4,1.4,1.4,995718,0.001142,15.0
2026-09-01 00:10,WIF,WIF,0.19824,2.018,1.513,2.522,2.522,41270,0.00125,15.53
2026-09-01 00:10,BONK,kBONK,0.0029965,3.337,1.669,1.669,1.669,188525,0.00125,15.84
2026-09-01 00:10,TRUMP,TRUMP,2.4400500000000003,1.229,0.615,0.615,0.615,91083,0.00125,13.73
2026-09-01 00:15,BTC,BTC,78862.5,0.127,0.063,0.063,0.063,4726726,0.00125,12.63
2026-09-01 00:15,ETH,ETH,2474.8500000000004,0.404,0.202,0.202,0.202,8726535,0.00125,12.9
2026-09-01 00:15,SOL,SOL,103.35499999999999,0.968,0.484,0.484,0.484,5233842,0.00125,13.47
2026-09-01 00:15,XRP,XRP,1.3825500000000002,0.723,0.362,0.362,0.362,1539698,0.00125,13.22
2026-09-01 00:15,AVAX,AVAX,7.21705,1.247,0.624,0.762,0.762,26911,0.00125,13.75
2026-09-01 00:15,LINK,LINK,11.3555,0.881,0.44,0.44,0.44,351021,0.00125,13.38
2026-09-01 00:15,LTC,LTC,48.620000000000005,0.823,0.411,0.617,0.617,58650,0.00125,13.32
2026-09-01 00:15,ADA,ADA,0.198805,1.509,0.755,0.755,0.755,91849,0.000514,11.95
2026-09-01 00:15,DOT,DOT,0.836835,1.792,0.896,1.613,1.733,22109,-0.000173,10.79
2026-09-01 00:15,UNI,UNI,5.2356,0.764,0.382,0.573,0.573,39571,0.001278,13.34
